taz_id,node_id,was_20260722_candidate,candidate_best_rank,candidate_max_density,candidate_sector_count,major_level,outside_len_ft
958,1033231,False,,,,3.0,0.0
962,38400,False,,,,3.0,25.224080631293894
963,38589,False,,,,3.0,2804.542676810424
964,40504,False,,,,4.0,0.0
964,1719463,False,,,,3.0,31.1052071980512
964,1719485,False,,,,3.0,23.316703548414065
967,557124,False,,,,3.0,0.0
969,41506,False,,,,4.0,0.0
969,411907,False,,,,4.0,0.4597356118658077
969,987603,False,,,,4.0,1742.6148525904548
979,95079,False,,,,3.0,0.0
984,988788,False,,,,4.0,0.0
984,1374025,False,,,,4.0,13.566051213705839
985,42863,False,,,,4.0,11.030656984622585
987,833002,False,,,,4.0,0.0
990,43548,False,,,,3.0,8.998114262443929
991,1043137,False,,,,3.0,13.698918264354102
996,988683,False,,,,3.0,0.6799414898539847
1008,239632,False,,,,4.0,0.0
1014,94556,False,,,,4.0,0.0
1014,543595,True,1.0,0.010236288967506451,1.0,4.0,0.0
1015,94993,False,,,,4.0,0.0
1029,912321,False,,,,4.0,0.0
1031,664867,False,,,,4.0,0.0
1032,833854,False,,,,4.0,0.0
1032,1537106,False,,,,4.0,0.0
1033,94399,False,,,,4.0,0.0
1035,646703,False,,,,3.0,9.99181205033414
1037,435841,False,,,,4.0,0.0
1040,437559,True,9.0,0.0,1.0,4.0,11.13242007652948
1040,978553,False,,,,4.0,6.873941334423471
1041,615869,False,,,,4.0,0.0
1050,97863,False,,,,4.0,0.0
1050,974142,False,,,,4.0,0.0
1055,972311,False,,,,4.0,3.1634596849796344
1056,972656,False,,,,4.0,0.0
1066,555343,False,,,,3.0,9.70841543966038
